depmap_column_name	gene_symbol	ncbi_entrez_id
A1BG (1)	A1BG	1
A1CF (29974)	A1CF	29974
A2M (2)	A2M	2
A2ML1 (144568)	A2ML1	144568
A3GALT2 (127550)	A3GALT2	127550
A4GALT (53947)	A4GALT	53947
A4GNT (51146)	A4GNT	51146
AAAS (8086)	AAAS	8086
AACS (65985)	AACS	65985
AADAC (13)	AADAC	13
AADACL2 (344752)	AADACL2	344752
AADACL3 (126767)	AADACL3	126767
AADACL4 (343066)	AADACL4	343066
AADAT (51166)	AADAT	51166
AAGAB (79719)	AAGAB	79719
AAK1 (22848)	AAK1	22848
AAMDC (28971)	AAMDC	28971
AAMP (14)	AAMP	14
AANAT (15)	AANAT	15
AAR2 (25980)	AAR2	25980
AARD (441376)	AARD	441376
AARS1 (16)	AARS1	16
AARS2 (57505)	AARS2	57505
AARSD1 (80755)	AARSD1	80755
AASDH (132949)	AASDH	132949
AASDHPPT (60496)	AASDHPPT	60496
AASS (10157)	AASS	10157
AATF (26574)	AATF	26574
AATK (9625)	AATK	9625
ABAT (18)	ABAT	18
ABCA1 (19)	ABCA1	19
ABCA10 (10349)	ABCA10	10349
ABCA12 (26154)	ABCA12	26154
ABCA13 (154664)	ABCA13	154664
ABCA2 (20)	ABCA2	20
ABCA3 (21)	ABCA3	21
ABCA4 (24)	ABCA4	24
ABCA5 (23461)	ABCA5	23461
ABCA6 (23460)	ABCA6	23460
ABCA7 (10347)	ABCA7	10347
ABCA8 (10351)	ABCA8	10351
ABCA9 (10350)	ABCA9	10350
ABCB1 (5243)	ABCB1	5243
ABCB10 (23456)	ABCB10	23456
ABCB11 (8647)	ABCB11	8647
ABCB4 (5244)	ABCB4	5244
ABCB5 (340273)	ABCB5	340273
ABCB6 (10058)	ABCB6	10058
ABCB7 (22)	ABCB7	22
ABCB8 (11194)	ABCB8	11194
ABCB9 (23457)	ABCB9	23457
ABCC1 (4363)	ABCC1	4363
ABCC10 (89845)	ABCC10	89845
ABCC11 (85320)	ABCC11	85320
ABCC12 (94160)	ABCC12	94160
ABCC2 (1244)	ABCC2	1244
ABCC3 (8714)	ABCC3	8714
ABCC4 (10257)	ABCC4	10257
ABCC5 (10057)	ABCC5	10057
ABCC6 (368)	ABCC6	368
ABCC8 (6833)	ABCC8	6833
ABCC9 (10060)	ABCC9	10060
ABCD1 (215)	ABCD1	215
ABCD2 (225)	ABCD2	225
ABCD3 (5825)	ABCD3	5825
ABCD4 (5826)	ABCD4	5826
ABCE1 (6059)	ABCE1	6059
ABCF1 (23)	ABCF1	23
ABCF2 (10061)	ABCF2	10061
